,Ratings,Review Date,Description,Review Title,Site
101,5.0,14 March 2019,"Great little restaurant next to a shopping street. The food is tasty and the service excellent.
The place have a social philosophy, helping the street children to a better future - love it!More",Great little place,Trip Advisor
102,5.0,7 March 2019,We had an excellent meal here. The sauces are thick and beautifully spiced and the breads were needed for making sure none of that sauce was left behind. They have a great selection of drinks too. The staff are warm and welcoming.More,Don’t miss out on this place ,Trip Advisor
103,5.0,25 February 2019,Visited this restaurant with a group of friends recently so a varied order was placed. All choices were excellent with no complaints would highly recommend this restaurant for quality of food and service not to mention the great work they do for the local community....More,Great Food Great Service Great Cause. ,Trip Advisor
104,5.0,23 February 2019,"Visited here recently for 2 nights in a row (it was that good!). The food here was amazing, the cause even better! Visited with family and we had different things each night, everything was great! The staff and the atmostphere were awsome!More",Incredible!,Trip Advisor
105,5.0,19 February 2019,Visited with friends recently.  We all had the non veg tandoori platter which was delicious and if i’m honest a bit too much for one person.  For a couple I would recommend one of these and a less filling veg dish.  Very happy with our...More,"Good, we’ll priced food with a great story to tell",Trip Advisor
106,1.0,14 February 2019,As an mature single traveller looking for good food experience I was surprised when the waiter told me there was no space in the place.....despite it being three quarters empty. A shame I am unable to review their food....maybe when they re-work their seating area......good...More,Didn’t eat here the place is not keen on solo travellers taking up room,Trip Advisor
107,5.0,13 February 2019,What’s not to love! Great food- welcoming staff- good vibe and this restaurant changes lives! We loved this place and came back several times.More,Wonderful restaurant with a feel good edge,Trip Advisor
108,5.0,12 February 2019,We were staying nearby in Karol Bagh and wanted a quick dinner on our first evening. We saw the reviews on Trip Advisor and decided to try it out. We liked it so much we came back the next evening to try more of the...More,"Lovely food, pleasant staff, great cause",Trip Advisor
109,5.0,12 February 2019,"This was one of the first place we ate at in India - Easily the best. 
The food is delicious, cocktails are great, hospitality outstanding and the restaurant is well decorated. 
You should definitely eat here if you're in Delhi!More",Highly recommend,Trip Advisor
110,5.0,11 February 2019,"Really good food and service, also serving alcohol and meet dishes. Great to know that they also help develop some less fortunate peopleMore",Great place,Trip Advisor
111,5.0,7 February 2019,A restaurant with great food and A refreshingly new consept that helps less fortunate youth develope skill sets in the hospitality industry and set their footing towards a better future . Don't miss the Naiza chicken and the Dhungari dal makhani.They also have great deals...More,Great food with a greater cause,Trip Advisor
112,4.0,7 February 2019,"This is an easy restaurant as it is focused on westerners so it feels “easy”. 

Idea is they train up homeless people in a trade in the hospitality industry.

Food was good, a bit expensive but not silly and it’s s good cause . I...More",Nice modern restaurant supporting locals,Trip Advisor
113,5.0,5 February 2019,"Visited this place after reading reviews on Trip Advisor & was not dissapointed. Staff very attentive, food delicious & the atmosphere was great. Fantastic cause & would highly recommend a visit 🥗More","Great food, staff & cause",Trip Advisor
114,2.0,26 January 2019,I visited this restaurant with my friends after seeing the review on Tripadvisor but after eating food I did not find the taste upto the mark. Ambiance is fine but  first and formost thing is taste of the food which was not upto the mark....More,Did not like the taste of food,Trip Advisor
115,5.0,25 January 2019,Really good food in bazaar area of Delhi. Wemt twice in our few days in Delhi each really enjoyed the food and service.,Great food in local surroundings,Trip Advisor
116,4.0,10 January 2019,"■feeling
On the just opened time,I came to there however they are preparing...

Not only here ,we should visit the store after 30mis or more on local store.

Dishes are neatly quickly makes thanks 

■taste
Here’s bread is so good, hot and softly.
The bread’s...More",Staff kindly and nice foods,Trip Advisor
117,3.0,7 January 2019,"We ate here on our first night in Dehli. Lovely decor and ambience, staff is attentive and friendly and the food was average. 
Good price, average food and friendly staff. Some with limited English.",Decent restaurant,Trip Advisor
118,5.0,7 January 2019,Went here for lunch and loved everything about it including the cause! The owner takes in youth that are living on the streets and helps them by training them in the kitchen. They were actually shut for an orientation when we went but made room...More,Great food and ambience ,Trip Advisor
119,5.0,6 January 2019,"Fantastic food, service and atmosphere plus supporting an excellent cause. I have been here four times already and plan to go again on my return leg through Delhi. Chicken tikka masala is excellent and there is a great range of food for all tastes. It’s...More",Excellent all round,Trip Advisor
120,5.0,5 January 2019,The staff is very courteous and takes the trouble of going an extra mile if you have any special requests for the food you have ordered. Relished the food and appreciate the cause they are supporting. Will definitely suggest this place. Good food and ambience.,Worth your money and time,Trip Advisor
121,5.0,3 January 2019,Great menu options from various cuisines. Chose to try Tikka Masala and Rogan Josh.  Delicious with just the right amount of heat!! Nice atmosphere and very clean. Excellent service!! Will eat there again.,Delicious Dinner,Trip Advisor
122,5.0,3 January 2019,"I came to this restaurant on the first night of my GAdvenures tour and thoroughly enjoyed it. The food was delicious I thoroughly enjoyed it, as did everyone else. The restaurant is clean and modern and I would happily go again",beautiful food,Trip Advisor
123,5.0,2 January 2019,"the restaurant is really nice, the food is great and the people...can change the world! their purpose to help children living on the street to learn a job in training session in the restaurant is fantistic!",Amazing place,Trip Advisor
124,3.0,1 January 2019,"The location is pretty, central crowdy. The restaurant is modern style, clean and the staff very helpful. The food is not as delicious as expected. This not means that is bad but my expectations was higher. Ismt is more expensive than the others restaurant but,...More",Not bad not too good,Trip Advisor
125,5.0,27 December 2018,"Great food, lovely service! People were friendly and warm, service was quick and food was beautiful!",Tasty treat,Trip Advisor
126,5.0,24 December 2018,This restaurant is a haven from the wild streets of Karol Bagh. We shared a green lentil daal and naan which was so rich and delicious. The staff are very polite. We love the idea behind this restaurant - training underprivileged people in the hospitality...More,Great food,Trip Advisor
127,4.0,24 December 2018,The food here is simply amazing and delicious too and service also is just damn good of the restaurant.,Amazing food ,Trip Advisor
128,5.0,23 December 2018,"Last day in Delhi and we found this place, really nice and tasty food, and kitchen with a course is good thing to support.",Lunch,Trip Advisor
129,5.0,22 December 2018,We went there twice. Both times was good. The food was awesome please do try the chicken tika masala and garlic bread! My favorite place to eat :) the service is superb and the owner is always there,Really good ,Trip Advisor
130,4.0,20 December 2018,"Kitchen with a Cause is the perfect place to kickoff a visit to Delhi - it's a step out of the chaos, the food is delicious and it acts as a training ground for staff (a way to move into a new life).

I went...More","Good food, great cause",Trip Advisor
131,5.0,18 December 2018,"My friend and I arrived in Delhi both exhausted and culture shocked. By the time the evening had come, we had one thought on our mind: food. We wanted to try local Indian cuisine, without taking too much of a risk with Delhi street food...More",A Safe Haven in the Heart of New Delhi,Trip Advisor
132,5.0,16 December 2018,"A very beautiful and vibrant place. The staff made us feel very welcome and were super friendly. We were impressed with quick and smooth service, and ofcourse - the most amazing curry we had in India! I had murrakan chicken the second time, and a...More",Absolutely Amazing food and atmosphere,Trip Advisor
133,5.0,16 December 2018,"I went to this restaurant twice whist I was staying in Delhi and I wish I could have gone more. The food, drink and staff are all excellent. I booked on-line and the staff greeted me by name on both occasions, and like an old...More",Loved it!,Trip Advisor
134,5.0,16 December 2018,"The tempting menu and tasty food was so good at KWAC that I went back a second time! 

I enjoyed some of the best meals I had while in India but what made these mealtimes even more special was the atmosphere. The staff are very...More",Delicious Indian cuisine and fabulous service!,Trip Advisor
135,5.0,16 December 2018,"If you are looking for somewhere to eat in Karol Bagh and support a good cause at the same time this is the place.  My wife and I have just spent 3 weeks on our first tour in India, although we are seasoned Asia travellers....More","Great Food, Cold Beer, Fantastic Staff & Reasonably Priced",Trip Advisor
136,4.0,14 December 2018,"I'd say the food is overpriced for the quality, but then take into account the good work this kitchen does, the money is all worth it. Service and food is average. They do have a good selection of Indian, Chinese and Western food, WITHOUT having...More","Good food & service, for a good cause",Trip Advisor
137,5.0,12 December 2018,We ate at Kitchen Witha Cause early in our trip to India and liked it so well we made sure we had our last Indian meal there. The staff was very attentive and helpful and the food was delicious. The complimentary appetizer of pickled shallots...More,"Great staff,great food",Trip Advisor
138,5.0,9 December 2018,"This is by far my favourite restaurant to eat in in India for so many reasons. The staff are very warm and friendly, the restaurant is super clean (which can sometimes be hard to find in Delhi!) and the food is incredible. The best part...More",The only place to eat in Delhi!,Trip Advisor
139,5.0,5 December 2018,This restaurant is clean the waiters are very friendly. My father and I liked it so much that we went three days in a row! We are no expert in India food but it was in the end of our India trip so we know...More,Amazing food!,Trip Advisor
140,4.0,4 December 2018,"We had a hard time finding the place the first time we went there for dinner.  It was in the middle of very busy open market in the Karol Bagh district of Delhi.
The staff was very friendly and the service was efficient.  It was...More",Our Favorite Restaurant in Delhi,Trip Advisor
141,5.0,3 December 2018,"I try to seek out restaurants with a charitable cause while travelling. This one has a great cause which you can read more about elsewhere. But they wouldn't last long if the food was not good. Luckily it's great!

What more to say... Good location...More",100% Recommended,Trip Advisor
142,5.0,29 November 2018,"This is a place with good atmosphere, friendly staff and divine food. I had the best chicken I have had in my life. KWAC is driven by a good heart and gives you a great opportunity to do something good for others while you eat....More",The best,Trip Advisor
143,5.0,29 November 2018,"While travelling in Delhi had lunch at Kitchen With a Cause. This restaurant has very good food . It is modern looking and very clean. ,In addition to being a great place to eat , this restaurant gives apprenticeships to street kids who have been...More",Great Restaurant,Trip Advisor
144,5.0,27 November 2018,"Excellent meal in a very clean and hygienic kitchen. The staff were friendly and prompt, one of the most enjoyable meals I had in India.More",Great food and service,Trip Advisor
145,5.0,22 November 2018,"In case you are in Karol Bagh (or elsewhere in Delhi) you must visit this wonderful place. It is an oasis inside the bustling market and it will offer you wonderful drinks and food (veg and non-veg).
We dined there every day we spent in...More",Perfect food,Trip Advisor
146,5.0,21 November 2018,Great food and an even better concept! The staff was really nice and helpfull. I would definitely recommend this place!,Great place to eat,Trip Advisor
147,5.0,20 November 2018,"We ate here twice whilst in Delhi, we enjoyed it so much the first time, that we took friends from our tour group with us on our second visit.

The menu is wide ranging with Chinese and Continental options as well as Indian. 

We had...More","Great service and food, with a purpose",Trip Advisor
148,5.0,20 November 2018,"Great restaurant nestled in the bustling Karol Bagh district. The cause, well they help train street children to work in the restaurant, thus giving them a job and a future! If you are a little wary of trying street food, pop in here for some...More",Lovely restaurant,Trip Advisor
149,5.0,20 November 2018,"We had a fantastic lunch at kitchen with a cause, the service was impeccable, food was delicious, and a great cause! Highly recommend if you’re looking for somewhere to eat in Delhi.",Fantastic Restaurant ,Trip Advisor
150,5.0,20 November 2018,"Best mutton rara of my life! And even better hospitality, and even bigger cause. Hands down! Best of luck!",What a concept! Amazing food!,Trip Advisor
151,5.0,17 November 2018,"What a funky little spot to chill out with some delicious food and mocktails while listening to a killer playlist and supporting such a worthy cause. The service was fantastic - nothing was too much trouble! Bills were split easily, special dietary requirements catered for,...More",An idea can change a life,Trip Advisor
152,5.0,16 November 2018,"Found this restaurant near where we stayed. Great staff, excellent food 

Good gluten free options and a reasonable price.",Excellent experience ,Trip Advisor
153,4.0,15 November 2018,"Tucked into the ground floor of the Hotel Good Palace, on Lane 35 near Ajmal Khan Road in Karol Bagh. Easily accessible on foot, by rickshaw or Tuk-Tuk. A 10/15 minute walk from the Karol Bagh metro station. I have eaten here several times, both...More","Bright, well run, consistent and clean.",Trip Advisor
154,5.0,10 November 2018,"The food was fantastic, the staff were friendly and attentive. Fantastic cause, providing street children with skills for life to help them out of poverty.  Definitely worth a visit.","Lovely Food, wonderful cause",Trip Advisor
155,5.0,5 November 2018,Great place and even greater cause - my kids are still talking about their tasty meals (which they’re rarely do). We happened upon this spot after arriving in Delhi and looking for places to eat near our hotel. It was in walking distance and said...More,Echoing what others have said,Trip Advisor
156,5.0,4 November 2018,We came to this special place at the start of a guided tour around India and it was so good we had to come back our last night before leaving Delhi! Kitchen with a Cause gives local street kids an internship opportunity to learn the...More,just as good the second time!,Trip Advisor
157,5.0,1 November 2018,Me and my daughter visited for dinner and was offered a range of vegan dishes. The manager understood that we couldn't eat dairy and even made us the most creamiest vegan Korma! The service was excellent and it was nice to see the managers training...More,Great food for an even greater cause,Trip Advisor
158,5.0,30 October 2018,The manager was very helpful as well as the waitress who is getting a six months training which will allow her to get a job. The chicken Tika masala was wonderful. I would gladly come back as it is easy to reach from many hotels...More,A pleasant experience and good food,Trip Advisor
159,5.0,28 October 2018,"Great safe place to eat, good menu  and fair pricing too. If Its not precisely what you want, ask them to mix it up as you like it 

Recommended!",Lovely meal- second vist,Trip Advisor
160,5.0,26 October 2018,"My partner and I had lunch at Kitchen with a cause recently and absolutely loved it. The wait staff made us feel like we were stars and the food was outstanding. Despite the hustle and bustle of everything around you, this restaurant feels like an...More",Amazing food and Service!,Trip Advisor
161,5.0,18 October 2018,"I think it’s perfect place for European. The atmosphere is nice (just normal as for our standards, while in many places in India I felt creepy). The restaurant is much cleaner than Indian standards. The food and shakes are tasty and safe. Besides, they use...More",Perfect,Trip Advisor
162,5.0,16 October 2018,"We went to Kitchen With a Cause twice while in Delhi and just loved the experience. The staff is very friendly, the restaurant is very clean and the decor is beautiful. All the food we tried was delicious and the drinks (mocktails and shakes) were...More","Great food, great cause",Trip Advisor
163,4.0,14 October 2018,"just now

Great meal, tad pricey (compared to what's out therr) but worth it I think. I can recommend the chef's selection which is enough for two people. My only complaint was lack of alcohol :)",Great meals,Trip Advisor
164,5.0,10 October 2018,"I loved it so much I had 7 meals there during my 6 days in Delhi. It was spotless, the food was tasty and well presented and the bathroom clean. The staff were lovely and friendly. I felt very safe eating there so just kept...More",Absolutely loved it,Trip Advisor
165,5.0,9 October 2018,"I thought this place will have average food as the focus might be on community building only, but I was wrong . So good to see that great food, clean restaurant and a social cause all are working hand in hand. Highly recommended",Great food ,Trip Advisor
166,5.0,5 October 2018,"We thought is might be a tourist trap, but it was one of our best meals in India. Very tasty. Also, I *loved* that they even had women servers! Progressive! It was the *only* place in India where we had that. And all for a...More",One of our best meals - but looks very touristy,Trip Advisor
167,5.0,1 October 2018,"Delightful restaurant for its ambiance, delicious, well presented food, value for money and polite and helpful staff. We shall definitely be returning!",Simple but impressive,Trip Advisor
168,4.0,28 September 2018,Very good food and service...nice place to scape from the noise...and the toilet is very clean!I only miss a cold beer...but it seems that they are applyig for the license...,Very good place,Trip Advisor
169,5.0,14 September 2018,"An oasis in the middle of hot, dusty, noisy, mid summer madness of Karol Bagh market district. Great food, fantastic variety, excellent service and all this in CLEAN HARMONIOUS and HYGIENIC environs",An Oasis,Trip Advisor
170,5.0,3 September 2018,"Really clean food, cheap and delicious. Perfect for people on holidays unsure what to eat. And a brilliant initiative helping people from the streets!",Really delcious,Trip Advisor
171,5.0,26 August 2018,"Partially supported by Canadian travel company G Adventures, this Kitchen with a Cause gives an opportunity to street children to start a career and to learn skills which will allow them to survive and grow in the hectic world of  Delhi. One of the owners...More",An important initiative,Trip Advisor
172,5.0,23 August 2018,Great food. Worth a visit if you are in New Delhi. Staff are friendly and service excellent. We visited on our first night and last night in Delhi.,Great food,Trip Advisor
173,4.0,21 August 2018,"Our G adventure guide took us here and I noticed there were many other tourists groups. It's a lovely place and has really good food for for reasonable prices. 
went there twice during my stay. I really enjoyed their food! they have a great selection...More",Great place for tourists,Trip Advisor
174,5.0,30 July 2018,"came here with a group and we had a great evening. Delicious food, immaculate service, very clean and a wonderful ethical background to the business. The best meal I had in all of India!",Fantastic place!,Trip Advisor
175,4.0,29 July 2018,We went through this place via g adventures. We were assured all food was safe and tasty. The vegetarian options were delicious!,Good quality,Trip Advisor
176,4.0,21 July 2018,We had dinner at Street kitchen and it gave you the warm and fuzzies as well as a nice reasonably priced meal. The staff are orphans who are trained and given jobs to help them along and they do a great job.  There is a...More,Restaurant with a cause,Trip Advisor
177,5.0,9 July 2018,"Street Kitchen & Grill is a restaurant that helps young local people from India who grew up in orphanages. The owners provide a job for them in order to guide them towards independency, which is an AMAZING way to give back to their community. I...More",India,Trip Advisor
178,5.0,30 June 2018,"Not only is the restaurant modern and beautifully decorated, but they do a fantastic job of giving back to the community by training disadvantaged youth and training them in the service industry.  It’s a pretty new restaurant (and concept!) and they have really done a...More",Fantastic concept and food!,Trip Advisor
179,5.0,23 June 2018,"Went to street kitchen and grill with my friends who were in Delhi on business tour. Attractive ambiance and modern decor, this restaurant is run by two young men who were there to greet us and were very humble and informative. Mr Govind told us...More",Tasty food ,Trip Advisor
180,5.0,20 May 2018,"This is a great project to support local people, but better than that, the restaurant itself has a lovely atmosphere, the decor is modern and the menu has something for everyone. Food was delicious - everyone in our group was pleased with their meal.","Great food, lovely place",Trip Advisor
181,5.0,13 May 2018,Not only do they serve excellent food but this is also a training place for young people. The service is excellent and they offer an extensive menu as well as specials all at a very good price.  I have eaten here a number of times...More,More than just a restaurant,Trip Advisor
182,5.0,7 May 2018,Our university field school had a really great meal here. Great service and also an inspiring chat with the owner about the social innovation model that is helping street kids develop skills in the hospitality industry. Wonderful food.,Canadian students visit unique restaurant,Trip Advisor
183,5.0,7 May 2018,"Clean place, looks like new in modern, industrial style. Very good food. The owner is asking if you are satisfied. My veg spaghetti in European style; Mango lassi - jami. 😊","Clean, modern place with delicious food ",Trip Advisor
184,5.0,11 April 2018,My daughter and I ate here two days in a row. The traditional and authentic Indian food was delicious. Portions were generous. The staff was friendly and attentive with a few speaking English. Menu of good variety in English. Premises were clean and decor was...More,Delicious and Generous,Trip Advisor
185,5.0,8 April 2018,"We came here with our G Adventures group on our first meal in India. 

It was probably best meal we had here.

No faults",Incredible first meal in India,Trip Advisor
186,5.0,4 April 2018,"Street kitchen is amazing. I love it! The food is delicious and the menu is varied. And the best thing about the restaurant is that they support disadvantaged kids/young people by offering them opportunities to gain employment and a better future. 
A must try in...More",Best food and amazing atmosphere,Trip Advisor
187,5.0,3 April 2018,"Went back here because the food is so good. Best we’ve had on our trip to India. Very clean and friendly place, dont miss this one!",Best food in Delhi,Trip Advisor
188,5.0,3 April 2018,"We went back for this place. The food is amazing, we only ate the Indian food. They use their own herbs and have food you cannot get anywhere else. Take a look at the specials. With the money they make they help poor street children...More","Fantastic food, brilliant place",Trip Advisor
189,5.0,30 March 2018,"We were shopping in Karol Bagh and were looking for a place to eat and take a break from shopping. 
This was our haven! Friendly English speaking staff. We ordered the Dal and Butter chicken -very tasty and mild. The restrooms are clean . During...More",Great food and oasis in hectic Karol Bagh Market!,Trip Advisor
190,5.0,29 March 2018,"We ate here as a group on two occasions.The menu is varied , there is plenty of food and the food is of good quality. Sit back and enjoy a mocktail and a pickled onion  whilst young people are supported in making their way in...More",Cause and Course,Trip Advisor
191,5.0,19 March 2018,"we weren't in Delhi long, but made a point of returning to this restaurant for a second visit on our last night as we knew the food would be delicious, well-presented, reasonably priced and the whole place is clean ( great loos!) and beautifully decorated....More",well worth a visit.,Trip Advisor
192,5.0,7 March 2018,"Had a great meal here at the start of our group tour in India.  It was only newly open and they coped very well with a large group.  Every person in our group enjoyed their meals, not one complaint.  They were still sorting out their...More",Eating delicious food for a cause,Trip Advisor
193,5.0,27 February 2018,"My travel group (5 total) found this gem of a restaurant on our last day in Delhi, and we couldn’t have been happier. The decor is hip and modern and emphasizes the restaurant’s aim to help children in the community. The owner greeted us at...More",Must try in Delhi! ,Trip Advisor
194,5.0,20 February 2018,"Street kitchen and grill is amazing! We have come here twice now because We love it so much! The food was delicious, the best we have had on our trip so far! Mr Bhatt and other staff were all very welcoming and gave us recommendations...More",Amazing food and atmosphere ,Trip Advisor
195,5.0,20 February 2018,"Mr Bhatt, the owner convinced us to allow him to order for us and it was the best decision, great tasting dishes conjured up by the chef perfectly hit the spot!More",Absolutely delicious!,Trip Advisor
196,5.0,19 February 2018,"A perfect meal and a great place and atmosphere - attentive staff and had a great vibe, we wouldn’t visit Delhi again without coming here first!More",Perfect Visit in heart of Dehli,Trip Advisor
197,5.0,19 February 2018,"This was our tour groups first meal in India, and we were made to feel instantly welcome. The manager came to introduce himself and the food was incredible. Apart from being the best presented food we had during our trip, it tasted lovely too. I...More",Excellent food and vibe,Trip Advisor
198,5.0,17 February 2018,"Lip smacking, delicious food, cool ambience, homely vibe with a really helpful and friendly staff.
Also great initiative - giving back to the community!!!More",Delicious food,Trip Advisor
199,5.0,16 February 2018,Great ambiance and super service with their food quality. They did every thing to make my son birthday special.More,Best Birthday party ever,Trip Advisor
200,5.0,11 February 2018,"Our group of travellers enjoyed the food and drinks at Street Kitchen for dinner twice while on a tour of India. We started with drinks from their large selection of smoothies, shakes, lassi and juices, all freshly prepared and artfully presented. Our food choices were...More",Artfully presented delicious food,Trip Advisor
